Frame,Keypoint,X,Y,Confidence
1,Nose,431.6026611328125,122.9205322265625,0.0213977433741092
1,Left Eye,452.3796997070313,124.63565826416016,0.0302707646042108
1,Right Eye,418.840087890625,124.11875915527344,0.0205395594239234
1,Left Ear,498.0989685058594,121.31819152832033,0.0222419146448373
1,Right Ear,414.7810363769531,128.992919921875,0.0251116715371608
1,Left Shoulder,602.359130859375,13.966598510742188,0.0154296290129423
1,Right Shoulder,381.0748291015625,18.329124450683597,0.2585240602493286
1,Left Elbow,616.6362915039062,98.65714263916016,0.0436693876981735
1,Right Elbow,360.2700500488281,103.94501495361328,0.8149412870407104
1,Left Wrist,560.0540771484375,213.4196014404297,0.0874730944633483
1,Right Wrist,324.02252197265625,222.5397186279297,0.8020647764205933
1,Left Hip,613.0181274414062,281.72467041015625,0.3067430555820465
1,Right Hip,441.6528930664063,278.6326904296875,0.6975709795951843
1,Left Knee,561.5565795898438,373.3658447265625,0.0359963029623031
1,Right Knee,404.1980285644531,367.97607421875,0.1252479702234268
1,Left Ankle,560.48681640625,348.3114013671875,0.0129266045987606
1,Right Ankle,424.5549926757813,348.3327331542969,0.0290741063654422
2,Nose,434.9967346191406,122.3101577758789,0.0204808805137872
2,Left Eye,455.8262023925781,123.84484100341795,0.0285923387855291
2,Right Eye,422.00823974609375,123.29679870605467,0.0202735401690006
2,Left Ear,500.8873901367188,120.646240234375,0.0213083084672689
2,Right Ear,417.8783264160156,129.1411590576172,0.0256367120891809
2,Left Shoulder,603.59765625,15.956916809082031,0.0147907845675945
2,Right Shoulder,381.6333618164063,19.599594116210938,0.2510597109794616
2,Left Elbow,613.7229614257812,97.20393371582033,0.0435772985219955
2,Right Elbow,359.9654541015625,103.34661865234376,0.8146683573722839
2,Left Wrist,554.608154296875,215.3358154296875,0.0893108025193214
2,Right Wrist,324.07916259765625,222.63546752929688,0.8063222169876099
2,Left Hip,613.5509033203125,283.4029235839844,0.3061703145503998
2,Right Hip,440.31097412109375,280.2676696777344,0.6967596411705017
2,Left Knee,563.3443603515625,374.9097290039063,0.0354885831475257
2,Right Knee,405.20513916015625,369.4536437988281,0.1236014366149902
2,Left Ankle,562.029296875,348.790283203125,0.0127068934962153
2,Right Ankle,424.633056640625,348.61627197265625,0.0285605993121862
3,Nose,432.7646179199219,122.32935333251952,0.020863126963377
3,Left Eye,453.6567687988281,123.8727569580078,0.0290215108543634
3,Right Eye,419.89794921875,123.32398986816406,0.0202003251761198
3,Left Ear,499.3338317871094,120.62295532226562,0.02147445268929
3,Right Ear,416.6473388671875,129.07212829589844,0.0250610075891017
3,Left Shoulder,603.154052734375,16.290328979492188,0.0148571645841002
3,Right Shoulder,381.3674621582031,19.983322143554688,0.2506265938282013
3,Left Elbow,613.9427490234375,97.51729583740234,0.043801050633192
3,Right Elbow,359.87774658203125,103.25276947021484,0.813939094543457
3,Left Wrist,554.4864501953125,215.96408081054688,0.089842140674591
3,Right Wrist,324.0184631347656,222.62594604492188,0.8060447573661804
3,Left Hip,613.3626708984375,283.76397705078125,0.3060735166072845
3,Right Hip,440.1569519042969,280.5141296386719,0.6961910724639893
3,Left Knee,562.929931640625,375.0343627929688,0.0354584157466888
3,Right Knee,404.8401489257813,369.4671325683594,0.1232146322727203
3,Left Ankle,561.8538818359375,348.88140869140625,0.0126824975013732
3,Right Ankle,424.650634765625,348.6136474609375,0.0284700654447078
4,Nose,439.451171875,121.2729263305664,0.0176105741411447
4,Left Eye,460.8587036132813,122.94801330566406,0.0255158022046089
4,Right Eye,425.8390808105469,122.31385040283205,0.0187992807477712
4,Left Ear,505.8797912597656,119.6426010131836,0.0199363566935062
4,Right Ear,418.79583740234375,129.00135803222656,0.0273197721689939
4,Left Shoulder,608.4866943359375,13.414154052734377,0.0149579932913184
4,Right Shoulder,379.8159790039063,17.088485717773438,0.2563474774360657
4,Left Elbow,623.3013916015625,101.44683837890624,0.0429590418934822
4,Right Elbow,358.0557861328125,106.7865753173828,0.8195456862449646
4,Left Wrist,578.0352783203125,216.7014923095703,0.0857794806361198
4,Right Wrist,323.0669860839844,226.5155334472656,0.8040387630462646
4,Left Hip,610.869140625,282.4698486328125,0.3166865706443786
4,Right Hip,436.6298828125,279.13702392578125,0.7085261940956116
4,Left Knee,565.064208984375,376.8575439453125,0.0361626371741294
4,Right Knee,406.5758972167969,371.0933227539063,0.1276453286409378
4,Left Ankle,561.877197265625,350.3897705078125,0.0127556445077061
4,Right Ankle,425.34075927734375,350.0623474121094,0.028987668454647
5,Nose,439.3770446777344,121.37646484375,0.0177703741937875
5,Left Eye,460.9266357421875,123.17046356201172,0.0258076321333646
5,Right Eye,425.7933349609375,122.46409606933594,0.0188017450273036
5,Left Ear,506.18756103515625,119.89250946044922,0.0201601106673479
5,Right Ear,418.831787109375,128.89979553222656,0.0272834617644548
5,Left Shoulder,608.4310302734375,13.634971618652344,0.015043624676764
5,Right Shoulder,379.95068359375,17.241111755371094,0.2583068311214447
5,Left Elbow,622.951904296875,102.63150024414062,0.0427701100707054
5,Right Elbow,358.300537109375,107.24372863769533,0.8196657299995422
5,Left Wrist,577.4228515625,217.76004028320312,0.0851939618587493
5,Right Wrist,323.03875732421875,226.4744873046875,0.803511381149292
5,Left Hip,610.8411865234375,283.5785217285156,0.3135480284690857
5,Right Hip,436.6861877441406,280.1044616699219,0.706122875213623
5,Left Knee,564.450439453125,376.7769775390625,0.0356696508824825
5,Right Knee,406.3464660644531,370.97412109375,0.1262346655130386
5,Left Ankle,561.3936767578125,350.304931640625,0.0126551445573568
5,Right Ankle,425.4255676269531,349.937744140625,0.0287862122058868
6,Nose,433.9486999511719,121.45838928222656,0.0188504420220851
6,Left Eye,455.5160827636719,123.2638168334961,0.0271791145205497
6,Right Eye,420.8111267089844,122.58722686767578,0.0187475588172674
6,Left Ear,502.0213317871094,119.95669555664062,0.0213171355426311
6,Right Ear,415.9083862304688,128.75157165527344,0.026320582255721
6,Left Shoulder,606.6775512695312,13.135162353515623,0.0155993392691016
6,Right Shoulder,379.2349548339844,17.013267517089844,0.2624635398387909
6,Left Elbow,621.720703125,104.0298080444336,0.0432179048657417
6,Right Elbow,357.9296264648437,107.19535064697266,0.8179652094841003
6,Left Wrist,572.6971435546875,221.13998413085935,0.0848419517278671
6,Right Wrist,323.022705078125,226.47091674804688,0.800440788269043
6,Left Hip,610.0944213867188,285.5519714355469,0.310183972120285
6,Right Hip,435.7633972167969,281.79254150390625,0.7018821835517883
6,Left Knee,563.9163818359375,376.96588134765625,0.0351950228214263
6,Right Knee,405.2796325683594,370.8609619140625,0.1240445673465728
6,Left Ankle,561.8787841796875,350.40887451171875,0.0126075744628906
6,Right Ankle,424.8763122558594,349.5990600585937,0.0286029241979122
7,Nose,434.3123168945313,122.15513610839844,0.019255282357335
7,Left Eye,456.0251159667969,124.08908081054688,0.0279568023979663
7,Right Eye,421.0909423828125,123.41024780273438,0.0192896798253059
7,Left Ear,502.74365234375,120.85995483398438,0.0216214396059513
7,Right Ear,416.0417175292969,128.6800994873047,0.026559418067336
7,Left Shoulder,607.2628173828125,13.551467895507812,0.0158034488558769
7,Right Shoulder,379.3341064453125,17.24706268310547,0.2642816305160522
7,Left Elbow,622.4962158203125,104.51763153076172,0.0435021594166755
7,Right Elbow,357.9068603515625,107.2362289428711,0.8183039426803589
7,Left Wrist,574.76220703125,220.73486328125,0.0852821767330169
7,Right Wrist,322.9620666503906,226.5067138671875,0.8005086183547974
7,Left Hip,610.1055908203125,285.9207458496094,0.3116399049758911
7,Right Hip,435.6759948730469,282.05035400390625,0.7027595043182373
7,Left Knee,563.715576171875,377.203125,0.0352927073836326
7,Right Knee,405.3054809570313,371.13861083984375,0.1241549104452133
7,Left Ankle,561.54443359375,350.67254638671875,0.0126193035393953
